certificate_number,reverse_cert_number,year,brand,sport,card_number,player,variety_or_pedigree,grade,date,price,auction_house,lot_number,registry_set_msg,registry_set_url,population,population_w_equal,population_higher
24040658,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,4/22/2018,$8.13,eBay (stevietroy),"<a href=""/auctionprices/auction/1606061"" target=""_blank"">323210216078</a>",['None found.'],,121,3,84
17698429,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,2/18/2018,$6.75,eBay (trw1313),"<a href=""/auctionprices/auction/1333430"" target=""_blank"">253420395580</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/67toppsrule/publishedset/248713"">67toppsrule</a>, '.\n        ']",,121,3,84
30043474,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,6/29/2018,$17.00,eBay (tbh39),"<a href=""/auctionprices/auction/1895333"" target=""_blank"">362367574510</a>",['None found.'],,121,3,84
41842106,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,2/16/2019,$26.00,eBay (mintandcentered),"<a href=""/auctionprices/auction/2345531"" target=""_blank"">113620319215</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/heavys-attempt-8s-or-better/publishedset/6510"">Heavy's attempt at 8's or better</a>, '.\n        ']",,71,2,10
14948543,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,4/13/2020,$27.99,eBay (4_sharp_corners),"<a href=""/auctionprices/auction/3541061"" target=""_blank"">383460584374</a>","[""This cert is currently in a user's private set registry inventory.""]",,71,2,10
11425942,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,10/6/2017,$29.99,eBay (4_sharp_corners),"<a href=""/auctionprices/auction/287527"" target=""_blank"">361939660623</a>","[""This cert is currently in a user's private set registry inventory.""]",,71,2,10
28446547,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,1/26/2019,$9.99,eBay (patr_cond),"<a href=""/auctionprices/auction/2303367"" target=""_blank"">113598342443</a>",['None found.'],,121,3,84
02347824,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,8/30/2018,$19.05,eBay (probstein123),"<a href=""/auctionprices/auction/2090190"" target=""_blank"">382549016147</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/anthonys-1971-1972-topps-basketball-set/publishedset/287934"">Anthony's 1971-1972 Topps Basketball Set</a>, '.\n        ']",,121,3,84
28711685,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,7/2/2018,$19.03,eBay (nutzaboutcards),"<a href=""/auctionprices/auction/1887250"" target=""_blank"">302784207875</a>",['None found.'],,71,2,10
28425696,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,1/3/2018,$3.25,eBay (teri781),"<a href=""/auctionprices/auction/1189994"" target=""_blank"">362197747165</a>",['None found.'],,121,3,84
16551765,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM 7,6/25/2019,$9.83,eBay (ajcollectables2014),"<a href=""/auctionprices/auction/2734474"" target=""_blank"">153533559863</a>",['None found.'],,19,0,208
40275161,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,11/16/2012,$10.13,Sirius Sports Auctions,"<a href=""/auctionprices/auction/1941699"" target=""_blank"">220</a>","[""This cert is currently in a user's private set registry inventory.""]",,121,3,84
42509876,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,9/21/2019,$5.61,eBay (chuckw99),"<a href=""/auctionprices/auction/2962131"" target=""_blank"">254359960274</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/prince-collection/publishedset/318914"">The Prince Collection</a>, '.\n        ']",,121,3,84
26025871,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,4/20/2018,$33.00,eBay (icaancards),"<a href=""/auctionprices/auction/1606228"" target=""_blank"">362252792218</a>",['None found.'],,71,2,10
20590716,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,3/21/2018,$12.00,eBay (bbcexchange),"<a href=""/auctionprices/auction/1483408"" target=""_blank"">362227854085</a>",['None found.'],,121,3,84
26704305,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM 7,5/17/2017,$7.99,eBay (surfcitycards),"<a href=""/auctionprices/auction/1126533"" target=""_blank"">371929411625</a>",['None found.'],,19,0,208
23352232,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,3/13/2019,$6.50,eBay (tomdances),"<a href=""/auctionprices/auction/3828825"" target=""_blank"">223433325428</a>",['None found.'],,121,3,84
26890348,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,2/21/2017,$5.85,eBay (probstein123),"<a href=""/auctionprices/auction/145626"" target=""_blank"">381966168050</a>","[""This cert is currently in a user's private set registry inventory.""]",,121,3,84
27342757,Yes,1948,TOPPS MAGIC PHOTOS ALL-AMERICAN BASKETBALL,BASKETBALL CARDS,2B,MURRAY WIER,ALL AMERICAN BASKETBALL,VG 3,6/21/2017,$19.78,eBay (xsed58a),"<a href=""/auctionprices/auction/477549"" target=""_blank"">311898718015</a>",['None found.'],,2,0,10
27342754,Yes,1948,TOPPS MAGIC PHOTOS ALL-AMERICAN BASKETBALL,BASKETBALL CARDS,3B,ED MACAULEY,ALL AMERICAN BASKETBALL,VG-EX 4,6/29/2017,$29.78,eBay (xsed58a),"<a href=""/auctionprices/auction/477489"" target=""_blank"">311898646423</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/hall-fame-sets/players/nmhofbk/publishedset/8255"">NMHOFBK</a>, '.\n        ']",,3,1,4
41531412,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,GEM MT 10,4/10/2019,$120.46,eBay (probstein123),"<a href=""/auctionprices/auction/2491317"" target=""_blank"">362608438046</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/bbcards4u2-bkb/publishedset/6496"">BBCards4U2-BKB</a>, '.\n        ']",,10,0,0
41599722,Yes,1948,TOPPS MAGIC PHOTOS ALL-AMERICAN BASKETBALL,BASKETBALL CARDS,2B,MURRAY WIER,ALL AMERICAN BASKETBALL,EX 5,12/23/2018,$10.61,eBay (just_collect),"<a href=""/auctionprices/auction/2200741"" target=""_blank"">382680512913</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/non-sports/company-sets/david-strong-collection/publishedset/257422"">David Strong Collection</a>, '.\n        ']",,4,0,2
22595538,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,GEM MT 10,7/23/2020,$224.50,eBay (pwcc_auctions),"<a href=""/auctionprices/auction/4056734"" target=""_blank"">143654273496</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/hart-collection/publishedset/227972"">Hart_Collection</a>, '.\n        ']",,10,0,0
24897542,No,1948,TOPPS MAGIC PHOTOS BASKETBALL THRILLS,BASKETBALL CARDS,1Q,ST.LOUIS UNIVERSITY,BASKETBALL THRILLS,EX 5,5/28/2020,$75.00,eBay (princecaspian2010),"<a href=""/auctionprices/auction/3764775"" target=""_blank"">253063675064</a>",['None found.'],,6,0,4
